particle_id,longitude,latitude,mass,water_fraction,age_hours
197,70.73313545712408,20.844580173331586,1.0,0.0,36.0
198,70.71932525728157,20.829856380145053,1.0,0.0,36.0
199,70.71895564487212,20.83450470979759,1.0,0.0,36.0
200,70.7344601379783,20.844858747107285,1.0,0.0,36.0
201,70.72967486178156,20.855141413675717,1.0,0.0,36.0
202,70.73045054037726,20.8502707763507,1.0,0.0,36.0
203,70.73542212641418,20.84767432337264,1.0,0.0,36.0
204,70.74821129369863,20.858446624057414,1.0,0.0,36.0
205,70.74711245059254,20.836871242972006,1.0,0.0,36.0
206,70.73126348398453,20.84096203877257,1.0,0.0,36.0
207,70.74356045218255,20.82601398510439,1.0,0.0,36.0
208,70.71588651482458,20.8314274060562,1.0,0.0,36.0
209,70.75148670694816,20.822530756849552,1.0,0.0,36.0
210,70.74389488744576,20.8566344812453,1.0,0.0,36.0
211,70.73771724122653,20.874801218617687,1.0,0.0,36.0
212,70.74210225893353,20.843555839806776,1.0,0.0,36.0
213,70.71427728292964,20.83291736284954,1.0,0.0,36.0
214,70.77711982660354,20.85264116063605,1.0,0.0,36.0
215,70.7456224309458,20.848393711270095,1.0,0.0,36.0
216,70.74163332327382,20.84923871668527,1.0,0.0,36.0
217,70.75442835120006,20.857364792932824,1.0,0.0,36.0
218,70.7410661258012,20.85041528821097,1.0,0.0,36.0
219,70.72005745225704,20.83875144116794,1.0,0.0,36.0
220,70.72142969615956,20.830410013938657,1.0,0.0,36.0
221,70.70551376724984,20.853119739013994,1.0,0.0,36.0
222,70.76076944682777,20.845718709038465,1.0,0.0,36.0
223,70.71731302653147,20.85716330890645,1.0,0.0,36.0
224,70.71437182340487,20.858970838630015,1.0,0.0,36.0
225,70.73508772914145,20.825199197593154,1.0,0.0,36.0
226,70.70295087314913,20.85395769890455,1.0,0.0,36.0
227,70.75353409317601,20.867722902843063,1.0,0.0,36.0
228,70.72701058627725,20.840911514812884,1.0,0.0,36.0
229,70.72995540323113,20.842571496019204,1.0,0.0,36.0
230,70.71261519607147,20.850573825040225,1.0,0.0,36.0
231,70.7231551501503,20.83526568282568,1.0,0.0,36.0
232,70.71502174871242,20.848545627364512,1.0,0.0,36.0
233,70.73052112461596,20.82527236639901,1.0,0.0,36.0
234,70.73392341747692,20.863334543432426,1.0,0.0,36.0
235,70.742344474376,20.858459431608004,1.0,0.0,36.0
236,70.75159844242249,20.828329009521436,1.0,0.0,36.0
237,70.74585111290787,20.828878204315547,1.0,0.0,36.0
238,70.71282255455468,20.867675932044094,1.0,0.0,36.0
239,70.7272385077271,20.831415825144536,1.0,0.0,36.0
240,70.74794565306176,20.827268719440784,1.0,0.0,36.0
241,70.7322610739301,20.835598102734053,1.0,0.0,36.0
242,70.72064159938,20.822563895205974,1.0,0.0,36.0
243,70.72912307810394,20.828718466044386,1.0,0.0,36.0
244,70.74652709282879,20.85585045675465,1.0,0.0,36.0
245,70.75446823209228,20.862236215519758,1.0,0.0,36.0
246,70.74300952050389,20.86630860845545,1.0,0.0,36.0
247,70.71894972104019,20.855708798925647,1.0,0.0,36.0
248,70.7336053609297,20.85904901889488,1.0,0.0,36.0
249,70.7530384352976,20.84080240909939,1.0,0.0,36.0
250,70.72458338392585,20.858449659532592,1.0,0.0,36.0
251,70.74423834442163,20.853486630024953,1.0,0.0,36.0
252,70.72504558815834,20.827304735762258,1.0,0.0,36.0
253,70.74781327014766,20.831563953760973,1.0,0.0,36.0
254,70.73485578749498,20.872580054328946,1.0,0.0,36.0
255,70.73626374789322,20.847089438658614,1.0,0.0,36.0
256,70.7238173248464,20.803591495995907,1.0,0.0,36.0
257,70.72669305313494,20.835576108647125,1.0,0.0,36.0
258,70.75077887504162,20.846834695728095,1.0,0.0,36.0
259,70.74605309834722,20.83245580681454,1.0,0.0,36.0
260,70.73173402367915,20.821142275533404,1.0,0.0,36.0
261,70.76184836320554,20.851518125529527,1.0,0.0,36.0
262,70.74557880337413,20.852854048025907,1.0,0.0,36.0
263,70.73461642880191,20.84178509896088,1.0,0.0,36.0
264,70.74538400385062,20.828415314263662,1.0,0.0,36.0
265,70.74772293598569,20.835088827203947,1.0,0.0,36.0
266,70.73824956463035,20.85000697846657,1.0,0.0,36.0
267,70.75371927889255,20.843687082991323,1.0,0.0,36.0
268,70.71795261949791,20.844418372504773,1.0,0.0,36.0
269,70.7549108753329,20.857839415767366,1.0,0.0,36.0
270,70.73512666779574,20.84783779541521,1.0,0.0,36.0
271,70.74125272508877,20.876319589868295,1.0,0.0,36.0
272,70.74220130988918,20.820045766091567,1.0,0.0,36.0
273,70.72385350691661,20.854546286148032,1.0,0.0,36.0
274,70.73476366915573,20.828538832878834,1.0,0.0,36.0
275,70.73104635855385,20.832955216908747,1.0,0.0,36.0
276,70.73033486775793,20.85017312218711,1.0,0.0,36.0
277,70.73499990903738,20.8745803563393,1.0,0.0,36.0
278,70.74720520530224,20.845229317422028,1.0,0.0,36.0
279,70.73142162363972,20.83478581868525,1.0,0.0,36.0
280,70.74915833362137,20.845549383608024,1.0,0.0,36.0
281,70.74808369595773,20.827413518999332,1.0,0.0,36.0
282,70.71442284809075,20.856645469620165,1.0,0.0,36.0
283,70.72330863647726,20.843450484632264,1.0,0.0,36.0
284,70.72391227912675,20.817902955211967,1.0,0.0,36.0
285,70.7267684683677,20.870541805268022,1.0,0.0,36.0
286,70.72198966537735,20.865536253547003,1.0,0.0,36.0
287,70.73692613505413,20.853005464073817,1.0,0.0,36.0
288,70.7190397806067,20.825728835151956,1.0,0.0,36.0
289,70.72801482972152,20.826130983349163,1.0,0.0,36.0
290,70.7291125873303,20.870194183406348,1.0,0.0,36.0
291,70.72225241107736,20.88630615925327,1.0,0.0,36.0
292,70.71595158835063,20.8692551443412,1.0,0.0,36.0
293,70.72717142146479,20.867471927431783,1.0,0.0,36.0
294,70.72968133324211,20.832726252774375,1.0,0.0,36.0
295,70.71575461074606,20.842478849085758,1.0,0.0,36.0
296,70.74632056809615,20.876039618814435,1.0,0.0,36.0
297,70.71810465410142,20.867305110321745,1.0,0.0,36.0
298,70.75980192864871,20.857994386120946,1.0,0.0,36.0
299,70.73180284041068,20.87058257547133,1.0,0.0,36.0
300,70.74636560582427,20.84435016543494,1.0,0.0,36.0
301,70.75181219684684,20.841597243251684,1.0,0.0,36.0
302,70.73984403277719,20.844106481840843,1.0,0.0,36.0
303,70.73672698664544,20.874319787842033,1.0,0.0,36.0
